route,depart_date,base_price,price,historical_mean,demand_index
DEL-JFK,2025-03-02T00:00:00,150000,175981.0,148984.21,1.074
BOM-DEL,2025-02-23T00:00:00,4500,4459.0,4573.91,0.87
BOM-DXB,2025-02-03T00:00:00,23500,26752.0,23934.7,1.05
DEL-HYD,2025-01-06T00:00:00,4000,3752.0,3948.02,1.013
DEL-BKK,2025-03-31T00:00:00,26000,26107.0,26199.07,0.965
DEL-BKK,2025-03-15T00:00:00,26000,29217.0,26199.07,1.015
DEL-HYD,2025-02-08T00:00:00,4000,4811.0,3948.02,1.139
DEL-CDG,2025-02-01T00:00:00,82000,87003.0,81879.47,1.102
DEL-BLR,2025-03-07T00:00:00,4200,4305.0,4259.57,0.961
BOM-DXB,2025-01-24T00:00:00,23500,27764.0,23934.7,1.087
DEL-BLR,2025-02-26T00:00:00,4200,3933.0,4259.57,0.947
DEL-BKK,2025-04-03T00:00:00,26000,31988.0,26199.07,1.136
DEL-SIN,2025-01-19T00:00:00,42000,46311.0,41912.03,1.096
MAA-DEL,2025-03-26T00:00:00,4800,4691.0,4719.36,0.998
BOM-DEL,2025-03-16T00:00:00,4500,5263.0,4573.91,1.04
DEL-BOM,2025-03-17T00:00:00,4500,6425.0,4474.38,1.07
GOA-DEL,2025-02-16T00:00:00,5200,5166.0,5301.36,0.9
BLR-DEL,2025-01-29T00:00:00,4200,5072.0,4167.2,1.17
BOM-LHR,2025-02-16T00:00:00,80000,79098.0,78553.85,1.017
DEL-JFK,2025-02-22T00:00:00,150000,165324.0,148984.21,0.999
DEL-GOA,2025-03-16T00:00:00,5200,4477.0,5135.18,0.872
BOM-LHR,2025-03-06T00:00:00,80000,84593.0,78553.85,1.015
DEL-SFO,2025-03-23T00:00:00,155000,152120.0,153026.8,0.994
DEL-DXB,2025-03-25T00:00:00,23000,20951.0,22540.02,0.9
DEL-SFO,2025-01-23T00:00:00,155000,170305.0,153026.8,1.134
DEL-BLR,2025-04-10T00:00:00,4200,3909.0,4259.57,1.017
DEL-SIN,2025-03-21T00:00:00,42000,46539.0,41912.03,1.066
DEL-HYD,2025-03-06T00:00:00,4000,3847.0,3948.02,0.989
GOA-DEL,2025-04-03T00:00:00,5200,5471.0,5301.36,1.071
DEL-BLR,2025-01-30T00:00:00,4200,4081.0,4259.57,0.962
DEL-GOA,2025-01-29T00:00:00,5200,4270.0,5135.18,0.853
DEL-HYD,2025-02-14T00:00:00,4000,4928.0,3948.02,0.986
