route,depart_date,days_to_depart,base_price,historical_mean,weekday,month,demand_index,price
DEL-JFK,2025-03-02 00:00:00.000000,0,1500.0,1489.8420999999998,6,3,1.074,1759.81
BOM-DEL,2025-02-23 00:00:00.000000,0,45.0,45.7391,6,2,0.87,44.59
BOM-DXB,2025-02-03 00:00:00.000000,0,235.0,239.347,0,2,1.05,267.52
DEL-HYD,2025-01-06 00:00:00.000000,0,40.0,39.480199999999996,0,1,1.013,37.52
DEL-BKK,2025-03-31 00:00:00.000000,0,260.0,261.9907,0,3,0.965,261.07
DEL-BKK,2025-03-15 00:00:00.000000,0,260.0,261.9907,5,3,1.015,292.17
DEL-HYD,2025-02-08 00:00:00.000000,0,40.0,39.480199999999996,5,2,1.139,48.11
DEL-CDG,2025-02-01 00:00:00.000000,0,820.0,818.7947,5,2,1.102,870.03
DEL-BLR,2025-03-07 00:00:00.000000,0,42.0,42.595699999999994,4,3,0.961,43.05
BOM-DXB,2025-01-24 00:00:00.000000,0,235.0,239.347,4,1,1.087,277.64
DEL-BLR,2025-02-26 00:00:00.000000,0,42.0,42.595699999999994,2,2,0.947,39.33
DEL-BKK,2025-04-03 00:00:00.000000,0,260.0,261.9907,3,4,1.136,319.88
DEL-SIN,2025-01-19 00:00:00.000000,0,420.0,419.1203,6,1,1.096,463.11
MAA-DEL,2025-03-26 00:00:00.000000,0,48.0,47.193599999999996,2,3,0.998,46.91
BOM-DEL,2025-03-16 00:00:00.000000,0,45.0,45.7391,6,3,1.04,52.63
DEL-BOM,2025-03-17 00:00:00.000000,0,45.0,44.7438,0,3,1.07,64.25
GOA-DEL,2025-02-16 00:00:00.000000,0,52.0,53.0136,6,2,0.9,51.66
BLR-DEL,2025-01-29 00:00:00.000000,0,42.0,41.672,2,1,1.17,50.72
BOM-LHR,2025-02-16 00:00:00.000000,0,800.0,785.5385000000001,6,2,1.017,790.98
DEL-JFK,2025-02-22 00:00:00.000000,0,1500.0,1489.8420999999998,5,2,0.999,1653.24
DEL-GOA,2025-03-16 00:00:00.000000,0,52.0,51.351800000000004,6,3,0.872,44.77
BOM-LHR,2025-03-06 00:00:00.000000,0,800.0,785.5385000000001,3,3,1.015,845.93
DEL-SFO,2025-03-23 00:00:00.000000,0,1550.0,1530.2679999999998,6,3,0.994,1521.2
DEL-DXB,2025-03-25 00:00:00.000000,0,230.0,225.4002,1,3,0.9,209.51
DEL-SFO,2025-01-23 00:00:00.000000,0,1550.0,1530.2679999999998,3,1,1.134,1703.05
DEL-BLR,2025-04-10 00:00:00.000000,0,42.0,42.595699999999994,3,4,1.017,39.09
DEL-SIN,2025-03-21 00:00:00.000000,0,420.0,419.1203,4,3,1.066,465.39
DEL-HYD,2025-03-06 00:00:00.000000,0,40.0,39.480199999999996,3,3,0.989,38.47
GOA-DEL,2025-04-03 00:00:00.000000,0,52.0,53.0136,3,4,1.071,54.71
DEL-BLR,2025-01-30 00:00:00.000000,0,42.0,42.595699999999994,3,1,0.962,40.81
DEL-GOA,2025-01-29 00:00:00.000000,0,52.0,51.351800000000004,2,1,0.853,42.7
DEL-HYD,2025-02-14 00:00:00.000000,0,40.0,39.480199999999996,4,2,0.986,49.28
MAA-DEL,2025-03-14 00:00:00.000000,0,48.0,47.193599999999996,4,3,0.98,48.1
DEL-HYD,2025-01-08 00:00:00.000000,0,40.0,39.480199999999996,2,1,1.078,41.68
DEL-DXB,2025-03-22 00:00:00.000000,0,230.0,225.4002,5,3,0.923,225.92
DEL-MAA,2025-02-20 00:00:00.000000,0,48.0,47.3156,3,2,0.962,46.57
BOM-LHR,2025-01-10 00:00:00.000000,0,800.0,785.5385000000001,4,1,0.927,809.95
DEL-BKK,2025-04-01 00:00:00.000000,0,260.0,261.9907,1,4,1.024,284.56
DEL-DXB,2025-03-20 00:00:00.000000,0,230.0,225.4002,3,3,1.144,258.45
DEL-BOM,2025-02-24 00:00:00.000000,0,45.0,44.7438,0,2,0.942,43.23
BLR-DEL,2025-01-25 00:00:00.000000,0,42.0,41.672,5,1,0.904,39.89
DEL-SFO,2025-01-28 00:00:00.000000,0,1550.0,1530.2679999999998,1,1,1.081,1622.39
DEL-BOM,2025-02-21 00:00:00.000000,0,45.0,44.7438,4,2,0.8,40.39
MAA-DEL,2025-03-27 00:00:00.000000,0,48.0,47.193599999999996,3,3,1.018,49.02
DEL-LHR,2025-03-10 00:00:00.000000,0,780.0,788.0947,0,3,1.084,861.3
HYD-DEL,2025-01-25 00:00:00.000000,0,40.0,39.5932,5,1,1.08,44.99
MAA-DEL,2025-01-08 00:00:00.000000,0,48.0,47.193599999999996,2,1,1.018,47.71
HYD-DEL,2025-03-31 00:00:00.000000,0,40.0,39.5932,0,3,0.961,40.59
DEL-BLR,2025-03-12 00:00:00.000000,0,42.0,42.595699999999994,2,3,1.05,42.77
BOM-LHR,2025-01-09 00:00:00.000000,0,800.0,785.5385000000001,3,1,1.071,864.79
DEL-LHR,2025-02-02 00:00:00.000000,0,780.0,788.0947,6,2,0.961,779.42
DEL-BOM,2025-02-17 00:00:00.000000,0,45.0,44.7438,0,2,0.971,44.72
MAA-SIN,2025-02-20 00:00:00.000000,0,430.0,436.09839999999997,3,2,1.045,456.08
DEL-BOM,2025-01-13 00:00:00.000000,0,45.0,44.7438,0,1,1.12,50.31
DEL-HYD,2025-01-10 00:00:00.000000,0,40.0,39.480199999999996,4,1,0.905,37.68
DEL-CDG,2025-02-11 00:00:00.000000,0,820.0,818.7947,1,2,0.996,777.8
DEL-BKK,2025-02-14 00:00:00.000000,0,260.0,261.9907,4,2,1.008,344.65
BOM-LHR,2025-04-07 00:00:00.000000,0,800.0,785.5385000000001,0,4,0.991,796.38
DEL-SIN,2025-03-24 00:00:00.000000,0,420.0,419.1203,0,3,1.044,416.53
BOM-DEL,2025-03-03 00:00:00.000000,0,45.0,45.7391,0,3,0.885,42.76
MAA-SIN,2025-03-15 00:00:00.000000,0,430.0,436.09839999999997,5,3,0.966,425.89
DEL-GOA,2025-03-20 00:00:00.000000,0,52.0,51.351800000000004,3,3,1.003,48.16
BOM-LHR,2025-01-22 00:00:00.000000,0,800.0,785.5385000000001,2,1,0.908,744.13
DEL-DXB,2025-03-31 00:00:00.000000,0,230.0,225.4002,0,3,1.06,242.0
DEL-SFO,2025-03-29 00:00:00.000000,0,1550.0,1530.2679999999998,5,3,0.938,1453.79
DEL-JFK,2025-02-17 00:00:00.000000,0,1500.0,1489.8420999999998,0,2,0.991,1584.5
DEL-HYD,2025-03-29 00:00:00.000000,0,40.0,39.480199999999996,5,3,1.051,40.94
DEL-LHR,2025-01-13 00:00:00.000000,0,780.0,788.0947,0,1,1.096,917.98
BLR-DEL,2025-01-12 00:00:00.000000,0,42.0,41.672,6,1,0.961,42.4
MAA-SIN,2025-03-29 00:00:00.000000,0,430.0,436.09839999999997,5,3,0.959,420.23
MAA-SIN,2025-02-23 00:00:00.000000,0,430.0,436.09839999999997,6,2,0.978,449.84
BOM-DEL,2025-03-25 00:00:00.000000,0,45.0,45.7391,1,3,1.034,48.69
BOM-DXB,2025-04-06 00:00:00.000000,0,235.0,239.347,6,4,1.017,250.3
DEL-DXB,2025-02-24 00:00:00.000000,0,230.0,225.4002,0,2,0.984,213.71
GOA-DEL,2025-02-25 00:00:00.000000,0,52.0,53.0136,1,2,0.8,42.28
BOM-DEL,2025-01-25 00:00:00.000000,0,45.0,45.7391,5,1,0.997,49.65
BOM-LHR,2025-01-24 00:00:00.000000,0,800.0,785.5385000000001,4,1,1.017,826.89
GOA-DEL,2025-03-29 00:00:00.000000,0,52.0,53.0136,5,3,0.948,50.5
BOM-DEL,2025-03-10 00:00:00.000000,0,45.0,45.7391,0,3,1.0,46.35
DEL-JFK,2025-01-20 00:00:00.000000,0,1500.0,1489.8420999999998,0,1,1.07,1670.6
DEL-BLR,2025-03-11 00:00:00.000000,0,42.0,42.595699999999994,1,3,1.043,41.59
HYD-DEL,2025-02-27 00:00:00.000000,0,40.0,39.5932,3,2,0.941,38.71
MAA-SIN,2025-03-25 00:00:00.000000,0,430.0,436.09839999999997,1,3,1.096,448.03
DEL-LHR,2025-02-25 00:00:00.000000,0,780.0,788.0947,1,2,1.136,887.34
BOM-LHR,2025-04-02 00:00:00.000000,0,800.0,785.5385000000001,2,4,1.046,825.99
MAA-SIN,2025-03-16 00:00:00.000000,0,430.0,436.09839999999997,6,3,1.01,443.32
DEL-CDG,2025-04-09 00:00:00.000000,0,820.0,818.7947,2,4,1.033,810.6
DEL-MAA,2025-03-20 00:00:00.000000,0,48.0,47.3156,3,3,0.873,44.36
DEL-BOM,2025-03-23 00:00:00.000000,0,45.0,44.7438,6,3,1.066,50.63
BOM-LHR,2025-02-17 00:00:00.000000,0,800.0,785.5385000000001,0,2,0.993,795.8
DEL-LHR,2025-02-26 00:00:00.000000,0,780.0,788.0947,2,2,1.125,878.27
DEL-CDG,2025-01-30 00:00:00.000000,0,820.0,818.7947,3,1,1.035,831.89
DEL-BOM,2025-01-11 00:00:00.000000,0,45.0,44.7438,5,1,0.905,40.17
DEL-BOM,2025-04-08 00:00:00.000000,0,45.0,44.7438,1,4,0.938,43.03
DEL-JFK,2025-03-26 00:00:00.000000,0,1500.0,1489.8420999999998,2,3,0.946,1623.71
DEL-JFK,2025-02-03 00:00:00.000000,0,1500.0,1489.8420999999998,0,2,0.869,1307.73
DEL-GOA,2025-02-21 00:00:00.000000,0,52.0,51.351800000000004,4,2,0.955,48.84
DEL-BKK,2025-02-03 00:00:00.000000,0,260.0,261.9907,0,2,1.014,300.05
DEL-LHR,2025-01-03 00:00:00.000000,0,780.0,788.0947,4,1,1.025,907.72
DEL-SFO,2025-02-01 00:00:00.000000,0,1550.0,1530.2679999999998,5,2,1.148,1790.21
DEL-HYD,2025-01-17 00:00:00.000000,0,40.0,39.480199999999996,4,1,1.083,44.94
DEL-HYD,2025-04-04 00:00:00.000000,0,40.0,39.480199999999996,4,4,1.065,42.0
DEL-MAA,2025-01-30 00:00:00.000000,0,48.0,47.3156,3,1,0.961,46.87
BOM-DXB,2025-03-12 00:00:00.000000,0,235.0,239.347,2,3,1.07,259.05
DEL-BOM,2025-02-09 00:00:00.000000,0,45.0,44.7438,6,2,1.135,56.59
HYD-DEL,2025-03-21 00:00:00.000000,0,40.0,39.5932,4,3,0.85,37.79
DEL-GOA,2025-01-21 00:00:00.000000,0,52.0,51.351800000000004,1,1,1.087,54.57
DEL-BOM,2025-02-26 00:00:00.000000,0,45.0,44.7438,2,2,1.163,56.55
DEL-GOA,2025-01-12 00:00:00.000000,0,52.0,51.351800000000004,6,1,0.841,44.77
MAA-DEL,2025-02-14 00:00:00.000000,0,48.0,47.193599999999996,4,2,0.998,65.17
GOA-DEL,2025-03-13 00:00:00.000000,0,52.0,53.0136,3,3,0.911,48.57
MAA-SIN,2025-01-20 00:00:00.000000,0,430.0,436.09839999999997,0,1,1.041,509.66
DEL-DXB,2025-02-11 00:00:00.000000,0,230.0,225.4002,1,2,1.057,237.1
DEL-CDG,2025-03-31 00:00:00.000000,0,820.0,818.7947,0,3,0.981,774.62
GOA-DEL,2025-03-01 00:00:00.000000,0,52.0,53.0136,5,3,1.028,57.91
BOM-DEL,2025-03-24 00:00:00.000000,0,45.0,45.7391,0,3,0.994,44.33
DEL-SIN,2025-01-04 00:00:00.000000,0,420.0,419.1203,5,1,0.884,389.28
DEL-HYD,2025-03-15 00:00:00.000000,0,40.0,39.480199999999996,5,3,1.034,40.71
BOM-DEL,2025-02-22 00:00:00.000000,0,45.0,45.7391,5,2,0.897,45.37
BOM-LHR,2025-01-06 00:00:00.000000,0,800.0,785.5385000000001,0,1,0.93,727.71
DEL-JFK,2025-01-26 00:00:00.000000,0,1500.0,1489.8420999999998,6,1,0.958,1593.44
DEL-DXB,2025-02-06 00:00:00.000000,0,230.0,225.4002,3,2,0.8,173.75
DEL-SIN,2025-01-08 00:00:00.000000,0,420.0,419.1203,2,1,1.035,433.5
DEL-MAA,2025-04-05 00:00:00.000000,0,48.0,47.3156,5,4,1.105,59.04
BOM-DEL,2025-04-04 00:00:00.000000,0,45.0,45.7391,4,4,0.985,47.89
DEL-LHR,2025-02-16 00:00:00.000000,0,780.0,788.0947,6,2,0.841,670.33
DEL-MAA,2025-03-06 00:00:00.000000,0,48.0,47.3156,3,3,1.076,52.15
HYD-DEL,2025-03-28 00:00:00.000000,0,40.0,39.5932,4,3,0.856,36.17
DEL-SIN,2025-04-04 00:00:00.000000,0,420.0,419.1203,4,4,0.965,383.92
BOM-DEL,2025-03-08 00:00:00.000000,0,45.0,45.7391,5,3,1.008,50.77
DEL-JFK,2025-04-04 00:00:00.000000,0,1500.0,1489.8420999999998,4,4,1.078,1841.76
DEL-JFK,2025-03-15 00:00:00.000000,0,1500.0,1489.8420999999998,5,3,1.075,1690.23
GOA-DEL,2025-02-14 00:00:00.000000,0,52.0,53.0136,4,2,1.092,75.18
MAA-DEL,2025-01-30 00:00:00.000000,0,48.0,47.193599999999996,3,1,0.974,46.95
HYD-DEL,2025-01-03 00:00:00.000000,0,40.0,39.5932,4,1,0.973,39.63
DEL-BKK,2025-01-24 00:00:00.000000,0,260.0,261.9907,4,1,1.046,308.21
DEL-SFO,2025-03-20 00:00:00.000000,0,1550.0,1530.2679999999998,3,3,0.961,1510.11
DEL-SFO,2025-01-06 00:00:00.000000,0,1550.0,1530.2679999999998,0,1,1.011,1621.66
BOM-LHR,2025-04-10 00:00:00.000000,0,800.0,785.5385000000001,3,4,0.99,803.63
DEL-LHR,2025-02-14 00:00:00.000000,0,780.0,788.0947,4,2,0.953,1096.19
BOM-DXB,2025-01-14 00:00:00.000000,0,235.0,239.347,1,1,1.028,244.88
BOM-DEL,2025-01-07 00:00:00.000000,0,45.0,45.7391,1,1,0.921,43.47
BOM-LHR,2025-03-08 00:00:00.000000,0,800.0,785.5385000000001,5,3,0.984,815.52
HYD-DEL,2025-03-04 00:00:00.000000,0,40.0,39.5932,1,3,1.118,45.7
DEL-LHR,2025-03-08 00:00:00.000000,0,780.0,788.0947,5,3,0.97,769.58
MAA-DEL,2025-01-31 00:00:00.000000,0,48.0,47.193599999999996,4,1,1.031,49.91
DEL-GOA,2025-02-24 00:00:00.000000,0,52.0,51.351800000000004,0,2,1.001,47.81
DEL-BKK,2025-03-01 00:00:00.000000,0,260.0,261.9907,5,3,0.989,290.26
DEL-BOM,2025-02-03 00:00:00.000000,0,45.0,44.7438,0,2,1.046,48.32
BLR-DEL,2025-01-21 00:00:00.000000,0,42.0,41.672,1,1,0.838,35.35
BOM-LHR,2025-04-08 00:00:00.000000,0,800.0,785.5385000000001,1,4,0.969,788.38
DEL-HYD,2025-02-19 00:00:00.000000,0,40.0,39.480199999999996,2,2,0.998,36.83
DEL-GOA,2025-01-18 00:00:00.000000,0,52.0,51.351800000000004,5,1,1.014,50.87
DEL-SIN,2025-03-20 00:00:00.000000,0,420.0,419.1203,3,3,1.065,406.11
BOM-DEL,2025-01-08 00:00:00.000000,0,45.0,45.7391,2,1,1.004,49.1
BLR-DEL,2025-02-05 00:00:00.000000,0,42.0,41.672,2,2,1.131,46.3
MAA-DEL,2025-02-24 00:00:00.000000,0,48.0,47.193599999999996,0,2,0.865,37.87
BOM-LHR,2025-03-15 00:00:00.000000,0,800.0,785.5385000000001,5,3,0.943,789.29
MAA-DEL,2025-03-25 00:00:00.000000,0,48.0,47.193599999999996,1,3,0.873,40.9
BOM-LHR,2025-02-10 00:00:00.000000,0,800.0,785.5385000000001,0,2,0.891,701.3
DEL-GOA,2025-03-12 00:00:00.000000,0,52.0,51.351800000000004,2,3,0.816,39.31
HYD-DEL,2025-02-04 00:00:00.000000,0,40.0,39.5932,1,2,1.041,42.03
BLR-DEL,2025-01-10 00:00:00.000000,0,42.0,41.672,4,1,0.975,43.76
DEL-SIN,2025-03-06 00:00:00.000000,0,420.0,419.1203,3,3,1.122,438.27
DEL-SFO,2025-03-01 00:00:00.000000,0,1550.0,1530.2679999999998,5,3,0.898,1405.62
MAA-SIN,2025-03-06 00:00:00.000000,0,430.0,436.09839999999997,3,3,1.153,496.47
DEL-CDG,2025-01-29 00:00:00.000000,0,820.0,818.7947,2,1,1.137,859.0
DEL-BKK,2025-02-12 00:00:00.000000,0,260.0,261.9907,2,2,0.9,247.24
DEL-BOM,2025-01-12 00:00:00.000000,0,45.0,44.7438,6,1,0.978,47.41
DEL-CDG,2025-03-09 00:00:00.000000,0,820.0,818.7947,6,3,1.107,936.58
DEL-SIN,2025-01-21 00:00:00.000000,0,420.0,419.1203,1,1,1.063,431.11
DEL-GOA,2025-03-21 00:00:00.000000,0,52.0,51.351800000000004,4,3,1.037,53.05
DEL-SFO,2025-02-20 00:00:00.000000,0,1550.0,1530.2679999999998,3,2,1.033,1621.03
DEL-JFK,2025-02-08 00:00:00.000000,0,1500.0,1489.8420999999998,5,2,0.839,1365.39
DEL-MAA,2025-01-12 00:00:00.000000,0,48.0,47.3156,6,1,1.023,53.86
BOM-DXB,2025-01-25 00:00:00.000000,0,235.0,239.347,5,1,1.05,286.54
GOA-DEL,2025-03-24 00:00:00.000000,0,52.0,53.0136,0,3,1.035,54.96
BOM-DXB,2025-02-15 00:00:00.000000,0,235.0,239.347,5,2,1.068,284.18
HYD-DEL,2025-03-16 00:00:00.000000,0,40.0,39.5932,6,3,0.982,40.89
BOM-LHR,2025-02-22 00:00:00.000000,0,800.0,785.5385000000001,5,2,0.983,811.98
DEL-BKK,2025-03-20 00:00:00.000000,0,260.0,261.9907,3,3,0.952,244.82
GOA-DEL,2025-03-27 00:00:00.000000,0,52.0,53.0136,3,3,1.002,50.53
DEL-JFK,2025-01-19 00:00:00.000000,0,1500.0,1489.8420999999998,6,1,1.097,1790.61
DEL-SIN,2025-04-09 00:00:00.000000,0,420.0,419.1203,2,4,0.937,362.01
HYD-DEL,2025-01-08 00:00:00.000000,0,40.0,39.5932,2,1,0.915,36.27
GOA-DEL,2025-01-13 00:00:00.000000,0,52.0,53.0136,0,1,1.103,61.52
DEL-SFO,2025-04-01 00:00:00.000000,0,1550.0,1530.2679999999998,1,4,0.908,1276.98
BOM-LHR,2025-03-01 00:00:00.000000,0,800.0,785.5385000000001,5,3,0.911,725.08
DEL-SIN,2025-04-01 00:00:00.000000,0,420.0,419.1203,1,4,0.998,391.99
DEL-BKK,2025-01-26 00:00:00.000000,0,260.0,261.9907,6,1,0.913,256.49
DEL-GOA,2025-01-03 00:00:00.000000,0,52.0,51.351800000000004,4,1,0.936,52.08
DEL-BOM,2025-03-12 00:00:00.000000,0,45.0,44.7438,2,3,1.039,51.14
BOM-DXB,2025-03-26 00:00:00.000000,0,235.0,239.347,2,3,0.996,230.88
DEL-BOM,2025-02-01 00:00:00.000000,0,45.0,44.7438,5,2,0.879,44.42
DEL-BLR,2025-02-19 00:00:00.000000,0,42.0,42.595699999999994,2,2,0.968,40.13
DEL-MAA,2025-03-04 00:00:00.000000,0,48.0,47.3156,1,3,0.943,45.09
DEL-SIN,2025-01-06 00:00:00.000000,0,420.0,419.1203,0,1,1.071,438.92
HYD-DEL,2025-02-25 00:00:00.000000,0,40.0,39.5932,1,2,1.059,42.63
DEL-GOA,2025-04-04 00:00:00.000000,0,52.0,51.351800000000004,4,4,1.122,59.86
DEL-LHR,2025-02-21 00:00:00.000000,0,780.0,788.0947,4,2,1.02,839.7
DEL-JFK,2025-03-14 00:00:00.000000,0,1500.0,1489.8420999999998,4,3,0.932,1563.62
MAA-DEL,2025-01-27 00:00:00.000000,0,48.0,47.193599999999996,0,1,0.875,38.9
BLR-DEL,2025-03-15 00:00:00.000000,0,42.0,41.672,5,3,0.837,40.96
GOA-DEL,2025-01-21 00:00:00.000000,0,52.0,53.0136,1,1,0.937,52.18
DEL-MAA,2025-01-15 00:00:00.000000,0,48.0,47.3156,2,1,0.949,45.87
DEL-BOM,2025-02-07 00:00:00.000000,0,45.0,44.7438,4,2,0.939,43.85
MAA-SIN,2025-03-14 00:00:00.000000,0,430.0,436.09839999999997,4,3,0.995,446.93
BOM-DXB,2025-02-05 00:00:00.000000,0,235.0,239.347,2,2,1.156,284.05
DEL-DXB,2025-03-05 00:00:00.000000,0,230.0,225.4002,2,3,1.026,233.84
DEL-BLR,2025-01-24 00:00:00.000000,0,42.0,42.595699999999994,4,1,1.027,44.53
DEL-CDG,2025-03-08 00:00:00.000000,0,820.0,818.7947,5,3,0.942,734.48
DEL-BLR,2025-03-05 00:00:00.000000,0,42.0,42.595699999999994,2,3,1.112,47.61
DEL-BOM,2025-03-31 00:00:00.000000,0,45.0,44.7438,0,3,1.006,47.2
BLR-DEL,2025-03-30 00:00:00.000000,0,42.0,41.672,6,3,0.939,44.28
GOA-DEL,2025-01-02 00:00:00.000000,0,52.0,53.0136,3,1,0.98,56.43
DEL-JFK,2025-01-15 00:00:00.000000,0,1500.0,1489.8420999999998,2,1,1.048,1604.09
DEL-SIN,2025-02-07 00:00:00.000000,0,420.0,419.1203,4,2,1.035,451.64
BOM-DEL,2025-02-24 00:00:00.000000,0,45.0,45.7391,0,2,1.16,56.14
DEL-MAA,2025-01-17 00:00:00.000000,0,48.0,47.3156,4,1,0.933,46.8
DEL-BKK,2025-02-15 00:00:00.000000,0,260.0,261.9907,5,2,0.887,262.6
DEL-HYD,2025-01-31 00:00:00.000000,0,40.0,39.480199999999996,4,1,0.993,39.27
BLR-DEL,2025-04-07 00:00:00.000000,0,42.0,41.672,0,4,0.872,37.99
MAA-DEL,2025-03-21 00:00:00.000000,0,48.0,47.193599999999996,4,3,0.921,44.6
DEL-SIN,2025-02-04 00:00:00.000000,0,420.0,419.1203,1,2,1.053,430.44
DEL-JFK,2025-01-14 00:00:00.000000,0,1500.0,1489.8420999999998,1,1,1.014,1642.84
DEL-SFO,2025-02-04 00:00:00.000000,0,1550.0,1530.2679999999998,1,2,1.077,1672.93
DEL-MAA,2025-02-03 00:00:00.000000,0,48.0,47.3156,0,2,1.066,51.25
BLR-DEL,2025-01-01 00:00:00.000000,0,42.0,41.672,2,1,0.929,49.96
BOM-LHR,2025-02-24 00:00:00.000000,0,800.0,785.5385000000001,0,2,1.159,904.06
BOM-DEL,2025-04-05 00:00:00.000000,0,45.0,45.7391,5,4,1.116,55.14
DEL-SFO,2025-02-08 00:00:00.000000,0,1550.0,1530.2679999999998,5,2,1.005,1572.07
DEL-BOM,2025-01-21 00:00:00.000000,0,45.0,44.7438,1,1,0.995,46.26
BOM-LHR,2025-03-17 00:00:00.000000,0,800.0,785.5385000000001,0,3,1.035,946.89
MAA-SIN,2025-04-08 00:00:00.000000,0,430.0,436.09839999999997,1,4,1.034,439.2
DEL-CDG,2025-03-26 00:00:00.000000,0,820.0,818.7947,2,3,0.842,649.99
BOM-DEL,2025-02-14 00:00:00.000000,0,45.0,45.7391,4,2,1.105,66.81
DEL-DXB,2025-01-28 00:00:00.000000,0,230.0,225.4002,1,1,1.03,218.05
HYD-DEL,2025-03-30 00:00:00.000000,0,40.0,39.5932,6,3,0.874,39.98
BOM-DXB,2025-02-20 00:00:00.000000,0,235.0,239.347,3,2,0.861,220.87
MAA-DEL,2025-02-22 00:00:00.000000,0,48.0,47.193599999999996,5,2,1.027,51.38
GOA-DEL,2025-02-13 00:00:00.000000,0,52.0,53.0136,3,2,1.098,59.89
DEL-LHR,2025-02-11 00:00:00.000000,0,780.0,788.0947,1,2,1.038,834.76
MAA-DEL,2025-02-08 00:00:00.000000,0,48.0,47.193599999999996,5,2,1.08,47.49
DEL-HYD,2025-01-07 00:00:00.000000,0,40.0,39.480199999999996,1,1,1.101,41.06
BOM-DXB,2025-04-05 00:00:00.000000,0,235.0,239.347,5,4,1.118,275.64
BLR-DEL,2025-01-16 00:00:00.000000,0,42.0,41.672,3,1,1.005,40.54
HYD-DEL,2025-01-30 00:00:00.000000,0,40.0,39.5932,3,1,1.023,40.55
DEL-SFO,2025-02-07 00:00:00.000000,0,1550.0,1530.2679999999998,4,2,1.071,1774.99
HYD-DEL,2025-01-09 00:00:00.000000,0,40.0,39.5932,3,1,0.985,39.71
BOM-DXB,2025-01-11 00:00:00.000000,0,235.0,239.347,5,1,0.944,253.15
DEL-DXB,2025-01-05 00:00:00.000000,0,230.0,225.4002,6,1,0.892,198.88
BOM-DEL,2025-01-06 00:00:00.000000,0,45.0,45.7391,0,1,1.127,52.71
DEL-SIN,2025-01-01 00:00:00.000000,0,420.0,419.1203,2,1,0.928,491.62
DEL-MAA,2025-03-21 00:00:00.000000,0,48.0,47.3156,4,3,1.063,56.48
MAA-SIN,2025-01-24 00:00:00.000000,0,430.0,436.09839999999997,4,1,0.954,448.83
DEL-DXB,2025-03-17 00:00:00.000000,0,230.0,225.4002,0,3,1.015,291.57
MAA-DEL,2025-03-12 00:00:00.000000,0,48.0,47.193599999999996,2,3,1.186,55.26
DEL-GOA,2025-01-19 00:00:00.000000,0,52.0,51.351800000000004,6,1,0.991,50.46
DEL-JFK,2025-04-08 00:00:00.000000,0,1500.0,1489.8420999999998,1,4,0.958,1619.27
DEL-BKK,2025-03-07 00:00:00.000000,0,260.0,261.9907,4,3,1.029,303.21
DEL-BLR,2025-03-20 00:00:00.000000,0,42.0,42.595699999999994,3,3,1.02,41.89
DEL-SFO,2025-01-12 00:00:00.000000,0,1550.0,1530.2679999999998,6,1,1.024,1611.95
DEL-BLR,2025-02-02 00:00:00.000000,0,42.0,42.595699999999994,6,2,0.994,46.11
DEL-LHR,2025-02-07 00:00:00.000000,0,780.0,788.0947,4,2,0.993,855.46
DEL-DXB,2025-02-03 00:00:00.000000,0,230.0,225.4002,0,2,1.003,212.23
DEL-LHR,2025-03-04 00:00:00.000000,0,780.0,788.0947,1,3,1.041,849.35
BOM-DEL,2025-02-21 00:00:00.000000,0,45.0,45.7391,4,2,0.95,47.37
BLR-DEL,2025-03-05 00:00:00.000000,0,42.0,41.672,2,3,1.096,46.32
DEL-BOM,2025-01-04 00:00:00.000000,0,45.0,44.7438,5,1,1.124,53.07
DEL-DXB,2025-02-23 00:00:00.000000,0,230.0,225.4002,6,2,1.043,245.4
