from_city,to_city,airline,days_from_today,departure_hour,day_of_week,seats,stops,is_weekend,base_price,demand_index,price
DEL,BLR,Akasa,23,9,1,200,0,0,7200.0,1.1166666666666667,7700.0
DEL,SIN,IndiGo,11,18,2,180,0,0,27750.0,1.3166666666666669,26800.0
DEL,SIN,Vistara,45,19,1,220,0,0,27750.0,1.0,29400.0
DEL,GOA,Qatar,21,23,5,200,0,1,7100.0,1.15,7900.0
DEL,BLR,Akasa,3,20,1,220,0,0,7200.0,1.45,6000.0
DEL,LHR,Emirates,34,9,5,180,0,1,77400.0,1.0,87700.0
DEL,SIN,IndiGo,9,21,0,200,1,0,27750.0,1.35,23600.0
DEL,BOM,Qatar,-13,15,0,200,0,0,7050.0,1.7166666666666668,8600.0
DEL,DXB,Vistara,12,11,4,180,0,0,26700.0,1.3,28000.0
DEL,LHR,IndiGo,5,20,3,180,0,0,77400.0,1.4166666666666667,71500.0
DEL,BOM,Akasa,57,14,0,150,0,0,7050.0,1.0,7800.0
DEL,DXB,Akasa,46,8,3,180,0,0,26700.0,1.0,27500.0
DEL,BLR,Akasa,33,9,4,200,1,0,7200.0,1.0,6900.0
DEL,BOM,IndiGo,44,0,1,220,0,0,7050.0,1.0,5700.0
DEL,LHR,Air India,23,11,1,150,0,0,77400.0,1.1166666666666667,60000.0
DEL,GOA,Emirates,-15,18,4,150,0,0,7100.0,1.75,8900.0
DEL,BLR,Vistara,28,12,6,200,0,1,7200.0,1.0333333333333334,7200.0
DEL,BOM,Emirates,-1,12,5,220,1,1,7050.0,1.5166666666666666,5900.0
DEL,BLR,IndiGo,52,11,2,220,0,0,7200.0,1.0,5100.0
DEL,LHR,Emirates,17,19,1,200,1,0,77400.0,1.2166666666666668,87700.0
DEL,SIN,Emirates,-15,23,4,180,0,0,27750.0,1.75,24600.0
DEL,BLR,Vistara,-8,22,4,180,1,0,7200.0,1.6333333333333333,10200.0
DEL,SIN,Air India,-8,0,5,150,0,1,27750.0,1.6333333333333333,37400.0
DEL,BLR,Air India,7,12,6,200,1,1,7200.0,1.3833333333333333,6800.0
DEL,SIN,Emirates,49,16,6,180,0,1,27750.0,1.0,22300.0
DEL,DXB,Qatar,-13,0,0,180,0,0,26700.0,1.7166666666666668,18300.0
DEL,SIN,Qatar,57,14,0,150,1,0,27750.0,1.0,24800.0
DEL,SIN,Air India,41,0,5,220,0,1,27750.0,1.0,26300.0
DEL,BOM,Air India,-7,16,6,150,0,1,7050.0,1.6166666666666667,6200.0
DEL,SIN,Akasa,58,19,0,150,0,0,27750.0,1.0,21200.0
DEL,LHR,Emirates,55,21,4,150,0,0,77400.0,1.0,88400.0
DEL,SIN,Vistara,16,14,1,150,0,0,27750.0,1.2333333333333334,26800.0
DEL,LHR,Akasa,15,11,0,220,0,0,77400.0,1.25,66300.0
DEL,SIN,Akasa,55,13,5,220,0,1,27750.0,1.0,29200.0
DEL,GOA,Vistara,39,12,3,200,0,0,7100.0,1.0,5500.0
DEL,SIN,Akasa,41,21,4,150,0,0,27750.0,1.0,21000.0
DEL,BOM,IndiGo,-9,20,3,220,0,0,7050.0,1.65,8400.0
DEL,DXB,Air India,41,5,5,200,0,1,26700.0,1.0,28900.0
DEL,BLR,IndiGo,46,10,3,220,0,0,7200.0,1.0,6500.0
DEL,BLR,Emirates,25,2,3,150,0,0,7200.0,1.0833333333333333,6600.0
DEL,BOM,IndiGo,-12,18,0,150,1,0,7050.0,1.7,4800.0
DEL,DXB,Emirates,-5,22,0,150,0,0,26700.0,1.5833333333333337,25100.0
DEL,BOM,Qatar,-10,2,3,150,1,0,7050.0,1.6666666666666663,9500.0
DEL,SIN,Akasa,59,21,1,200,0,0,27750.0,1.0,21800.0
DEL,GOA,Air India,28,18,5,150,0,1,7100.0,1.0333333333333334,7800.0
DEL,BOM,Qatar,53,0,3,180,0,0,7050.0,1.0,5500.0
DEL,BOM,Air India,23,8,1,200,0,0,7050.0,1.1166666666666667,4900.0
DEL,BLR,Emirates,-3,2,3,150,1,0,7200.0,1.55,9100.0
DEL,BOM,Vistara,26,15,4,220,0,0,7050.0,1.0666666666666669,7800.0
DEL,LHR,Air India,31,15,2,180,1,0,77400.0,1.0,90700.0
DEL,BLR,Akasa,1,17,6,220,0,1,7200.0,1.4833333333333334,6900.0
DEL,DXB,Air India,-3,16,3,200,0,0,26700.0,1.55,36500.0
DEL,BLR,Air India,52,6,2,180,0,0,7200.0,1.0,6600.0
DEL,BLR,IndiGo,12,11,4,200,0,0,7200.0,1.3,7800.0
DEL,LHR,Vistara,0,18,5,150,0,1,77400.0,1.5,88500.0
DEL,LHR,Emirates,6,8,5,200,0,1,77400.0,1.4,73300.0
DEL,DXB,Air India,12,9,4,200,0,0,26700.0,1.3,29800.0
DEL,BLR,Emirates,-7,22,5,180,0,1,7200.0,1.6166666666666667,7900.0
DEL,LHR,Qatar,14,7,6,180,1,1,77400.0,1.2666666666666666,94400.0
DEL,LHR,Qatar,45,11,2,150,0,0,77400.0,1.0,67700.0
DEL,LHR,IndiGo,34,0,5,200,0,1,77400.0,1.0,73500.0
DEL,BOM,Air India,24,20,1,180,0,0,7050.0,1.1,7800.0
DEL,SIN,Air India,4,21,2,150,0,0,27750.0,1.4333333333333331,22200.0
DEL,BOM,Emirates,-8,23,4,200,1,0,7050.0,1.6333333333333333,9600.0
DEL,SIN,Vistara,19,22,3,200,1,0,27750.0,1.1833333333333331,24900.0
DEL,DXB,IndiGo,47,12,4,220,0,0,26700.0,1.0,27500.0
DEL,GOA,Akasa,3,17,1,200,0,0,7100.0,1.45,11700.0
DEL,LHR,Qatar,-3,12,3,200,0,0,77400.0,1.55,90000.0
DEL,SIN,Air India,42,4,6,220,0,1,27750.0,1.0,28300.0
DEL,GOA,IndiGo,54,9,4,180,0,0,7100.0,1.0,4700.0
DEL,GOA,Emirates,3,6,2,200,0,0,7100.0,1.45,11400.0
DEL,DXB,Air India,16,18,0,180,0,0,26700.0,1.2333333333333334,34400.0
DEL,GOA,IndiGo,-8,18,4,220,0,0,7100.0,1.6333333333333333,8300.0
DEL,LHR,Vistara,-5,14,1,220,0,0,77400.0,1.5833333333333337,75000.0
DEL,GOA,Qatar,9,21,0,220,0,0,7100.0,1.35,8300.0
DEL,LHR,Emirates,23,22,0,220,1,0,77400.0,1.1166666666666667,93200.0
DEL,GOA,Air India,26,3,4,150,0,0,7100.0,1.0666666666666669,5100.0
DEL,BLR,Air India,22,16,0,200,1,0,7200.0,1.1333333333333333,8600.0
DEL,LHR,Vistara,52,20,1,150,0,0,77400.0,1.0,83800.0
DEL,SIN,Akasa,37,19,0,220,0,0,27750.0,1.0,19200.0
DEL,LHR,Air India,47,10,4,180,1,0,77400.0,1.0,66200.0
DEL,BOM,Emirates,33,19,3,150,0,0,7050.0,1.0,8600.0
DEL,SIN,Emirates,54,13,4,220,0,0,27750.0,1.0,28300.0
DEL,GOA,Air India,-7,22,5,220,0,1,7100.0,1.6166666666666667,10100.0
DEL,DXB,Emirates,18,5,3,220,0,0,26700.0,1.2,18400.0
DEL,LHR,Akasa,46,19,2,220,0,0,77400.0,1.0,68000.0
DEL,GOA,Qatar,-7,18,5,220,0,1,7100.0,1.6166666666666667,9900.0
DEL,LHR,Akasa,-6,17,6,200,0,1,77400.0,1.6,91800.0
DEL,BLR,IndiGo,31,14,2,150,1,0,7200.0,1.0,7400.0
DEL,GOA,Qatar,-14,21,5,150,0,1,7100.0,1.7333333333333334,6900.0
DEL,BLR,Akasa,32,2,3,180,0,0,7200.0,1.0,6600.0
DEL,GOA,IndiGo,30,12,1,200,0,0,7100.0,1.0,8000.0
DEL,SIN,Emirates,39,19,2,220,0,0,27750.0,1.0,25000.0
DEL,LHR,Qatar,26,19,3,200,1,0,77400.0,1.0666666666666669,86500.0
DEL,SIN,Akasa,-13,5,0,220,1,0,27750.0,1.7166666666666668,29800.0
DEL,BOM,IndiGo,51,14,1,220,0,0,7050.0,1.0,8400.0
DEL,DXB,Vistara,-9,12,4,200,0,0,26700.0,1.65,24800.0
DEL,DXB,Qatar,8,15,0,200,0,0,26700.0,1.3666666666666667,33100.0
DEL,SIN,IndiGo,54,20,3,220,0,0,27750.0,1.0,24400.0
DEL,GOA,Vistara,-12,13,1,200,0,0,7100.0,1.7,6400.0
DEL,GOA,IndiGo,42,7,6,180,0,1,7100.0,1.0,7300.0
DEL,LHR,Air India,33,7,4,150,1,0,77400.0,1.0,57800.0
DEL,DXB,IndiGo,-5,19,0,220,1,0,26700.0,1.5833333333333337,25000.0
DEL,DXB,Akasa,-3,10,3,200,1,0,26700.0,1.55,24600.0
DEL,GOA,IndiGo,27,9,5,200,0,1,7100.0,1.05,6500.0
DEL,SIN,Qatar,4,12,3,220,0,0,27750.0,1.4333333333333331,38100.0
DEL,BOM,Qatar,43,17,6,150,0,1,7050.0,1.0,8000.0
DEL,LHR,Qatar,59,20,1,220,0,0,77400.0,1.0,66800.0
DEL,BOM,Qatar,10,7,2,150,0,0,7050.0,1.3333333333333333,5800.0
DEL,SIN,Qatar,40,16,4,200,1,0,27750.0,1.0,29300.0
DEL,SIN,Akasa,60,0,3,220,0,0,27750.0,1.0,24000.0
DEL,BLR,Qatar,49,13,6,180,0,1,7200.0,1.0,5500.0
DEL,BOM,Emirates,-14,7,6,150,1,1,7050.0,1.7333333333333334,5100.0
DEL,BOM,IndiGo,15,20,6,220,1,1,7050.0,1.25,5300.0
DEL,GOA,Air India,27,20,4,200,0,0,7100.0,1.05,5500.0
DEL,DXB,Emirates,35,6,6,220,1,1,26700.0,1.0,33300.0
DEL,BLR,Emirates,11,21,2,220,1,0,7200.0,1.3166666666666669,6400.0
DEL,BLR,Vistara,32,15,3,180,1,0,7200.0,1.0,7800.0
DEL,BOM,IndiGo,-14,9,6,180,1,1,7050.0,1.7333333333333334,8100.0
DEL,GOA,Air India,5,3,4,220,0,0,7100.0,1.4166666666666667,9000.0
DEL,BOM,Air India,10,19,1,220,0,0,7050.0,1.3333333333333333,8800.0
DEL,DXB,IndiGo,-10,22,2,150,0,0,26700.0,1.6666666666666663,36600.0
DEL,BOM,Emirates,34,9,5,150,0,1,7050.0,1.0,7300.0
DEL,SIN,Akasa,-8,15,5,180,0,1,27750.0,1.6333333333333333,30600.0
DEL,BLR,Air India,36,10,0,150,0,0,7200.0,1.0,8300.0
DEL,GOA,Akasa,-15,17,4,220,0,0,7100.0,1.75,5500.0
DEL,GOA,IndiGo,35,21,5,200,1,1,7100.0,1.0,5100.0
DEL,GOA,Air India,31,18,1,220,1,0,7100.0,1.0,6600.0
DEL,GOA,Akasa,5,19,3,150,0,0,7100.0,1.4166666666666667,7300.0
DEL,BOM,IndiGo,58,23,0,180,1,0,7050.0,1.0,5000.0
DEL,LHR,Emirates,16,4,1,220,0,0,77400.0,1.2333333333333334,67800.0
DEL,GOA,Akasa,0,16,6,180,0,1,7100.0,1.5,8400.0
DEL,LHR,Akasa,-13,15,0,200,0,0,77400.0,1.7166666666666668,63600.0
DEL,SIN,Emirates,30,21,0,180,0,0,27750.0,1.0,26300.0
DEL,DXB,Qatar,-9,3,4,220,0,0,26700.0,1.65,24800.0
DEL,BOM,Akasa,52,2,2,150,0,0,7050.0,1.0,5300.0
DEL,GOA,Vistara,47,21,3,150,1,0,7100.0,1.0,6700.0
DEL,BLR,Air India,-7,9,6,200,1,1,7200.0,1.6166666666666667,8200.0
DEL,DXB,Air India,28,7,6,180,0,1,26700.0,1.0333333333333334,20000.0
DEL,BLR,Akasa,-4,11,2,220,0,0,7200.0,1.5666666666666669,6400.0
DEL,DXB,Emirates,21,14,6,150,1,1,26700.0,1.15,27500.0
DEL,GOA,IndiGo,1,6,0,180,1,0,7100.0,1.4833333333333334,10800.0
DEL,BOM,Qatar,-13,15,0,150,0,0,7050.0,1.7166666666666668,4900.0
DEL,SIN,Vistara,52,22,1,220,1,0,27750.0,1.0,21500.0
DEL,DXB,Vistara,37,7,1,200,1,0,26700.0,1.0,20800.0
DEL,DXB,Air India,27,20,4,180,0,0,26700.0,1.05,22300.0
DEL,GOA,Akasa,25,0,3,220,0,0,7100.0,1.0833333333333333,5600.0
DEL,BOM,IndiGo,6,16,5,150,0,1,7050.0,1.4,7800.0
DEL,SIN,Air India,26,7,4,220,0,0,27750.0,1.0666666666666669,31200.0
DEL,GOA,Qatar,16,5,1,180,1,0,7100.0,1.2333333333333334,8700.0
DEL,BOM,Air India,15,8,0,220,0,0,7050.0,1.25,4500.0
DEL,LHR,Akasa,60,18,2,150,1,0,77400.0,1.0,59600.0
DEL,DXB,Qatar,18,1,3,200,0,0,26700.0,1.2,23300.0
DEL,DXB,Air India,-15,16,5,180,0,1,26700.0,1.75,21200.0
DEL,BLR,IndiGo,45,10,2,220,0,0,7200.0,1.0,5300.0
DEL,SIN,Emirates,43,3,0,150,0,0,27750.0,1.0,20700.0
DEL,DXB,Akasa,12,8,4,200,0,0,26700.0,1.3,32000.0
DEL,BLR,Qatar,38,1,2,200,0,0,7200.0,1.0,7600.0
DEL,BLR,Emirates,25,2,3,220,0,0,7200.0,1.0833333333333333,8700.0
DEL,SIN,IndiGo,52,2,2,200,0,0,27750.0,1.0,25200.0
DEL,BLR,Emirates,13,14,5,220,0,1,7200.0,1.2833333333333332,8000.0
DEL,SIN,Qatar,54,2,4,220,0,0,27750.0,1.0,18700.0
DEL,DXB,IndiGo,34,21,4,220,0,0,26700.0,1.0,23300.0
