from_city,to_city,airline,days_from_today,departure_hour,day_of_week,seats,stops,is_weekend,base_price,demand_index,price
BOM,DEL,Akasa,49,21,5,180,0,0,5279,0.659,3785
HYD,DEL,Akasa,10,9,4,180,1,1,7153,1.368,9263
HYD,DEL,Akasa,33,21,1,200,1,1,6587,0.958,6084
CCU,DEL,AirIndia,20,12,3,150,1,1,3784,1.182,4538
DEL,BOM,Vistara,9,21,5,200,1,1,4603,1.282,5698
DEL,CCU,AirIndia,16,12,0,150,0,1,3819,1.169,4090
BOM,MAA,AirIndia,59,9,2,200,1,0,4532,0.54,2433
HYD,BLR,IndiGo,48,21,2,180,1,0,3768,0.678,2432
MAA,DEL,AirIndia,38,9,4,150,0,1,5829,0.916,4711
CCU,HYD,AirIndia,28,18,3,150,1,0,6622,0.917,6145
BLR,MAA,Vistara,8,12,4,150,1,0,6224,1.466,8947
BLR,DEL,Akasa,20,18,2,180,1,1,7126,1.291,10170
CCU,DEL,Akasa,6,12,0,180,1,0,3617,1.43,5338
CCU,BLR,Akasa,46,21,2,200,1,1,5283,0.672,3522
MAA,BLR,AirIndia,46,9,0,180,0,1,5954,0.718,4169
MAA,CCU,Vistara,34,21,0,180,0,0,5171,0.892,4869
MAA,BLR,AirIndia,18,12,0,200,0,0,3879,1.22,4691
HYD,CCU,IndiGo,46,12,6,200,0,1,6507,0.76,4981
DEL,CCU,IndiGo,29,21,0,200,0,1,5916,0.975,6467
CCU,HYD,IndiGo,35,6,6,180,1,0,5298,0.925,4009
DEL,BOM,Vistara,13,18,6,150,0,0,4623,1.326,5901
MAA,HYD,IndiGo,32,18,4,180,1,1,7407,0.956,7200
HYD,MAA,Vistara,30,18,1,150,0,0,6017,1.03,6832
BOM,MAA,AirIndia,28,21,5,200,0,1,5385,0.987,5527
CCU,HYD,IndiGo,29,6,2,200,1,0,3558,0.99,3410
MAA,CCU,AirIndia,27,18,6,180,0,1,4106,1.051,4132
MAA,HYD,Akasa,48,9,6,200,1,0,4160,0.684,3090
BOM,MAA,IndiGo,29,18,5,180,1,1,4407,0.962,4325
